WARNING: Vertica suggests allowing 1 open file per MB of memory, minimum of 65536; see 'ulimit -n'.

The minimum required I/O is 20 MB/s read and write per physical processor core on each node, in full duplex i.e. reading and writing at this rate simultaneously, concurrently on all nodes of the cluster. The recommended I/O is 40 MB/s per physical core on each node. For example, the I/O rate for a server node with 2 hyper-threaded six-core CPUs is 240 MB/s required minimum, 480 MB/s recommended.

Using direct io (buffer size=1048576, alignment=512) for directory "/tmp"

test      | directory                                       | counter name        | counter value       | counter value (1 sec avg)       | counter value/core  | counter value/core (1 sec avg)  | thread count  | %CPU  | %IO Wait  | elapsed time (s)| remaining time (s)
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 108+108                         | 6+6                 | 6.75+6.75                       | 16            | 1     | 18        | 26              | 4               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 106+106                         | 6+6                 | 6.625+6.625                     | 16            | 1     | 18        | 27              | 3               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 106+106                         | 6+6                 | 6.625+6.625                     | 16            | 1     | 19        | 28              | 2               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 109+109                         | 6+6                 | 6.8125+6.8125                   | 16            | 1     | 18        | 29              | 1               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 124+124                         | 6+6                 | 7.75+7.75                       | 16            | 1     | 18        | 30              | 0               
Read      | /tmp                                            | MB/s                | 267                 | 267                             | 16.6875             | 16.6875                         | 16            | 2     | 16        | 1               | 29              
Read      | /tmp                                            | MB/s                | 264                 | 269                             | 16.5                | 16.8125                         | 16            | 2     | 16        | 2               | 28              
Read      | /tmp                                            | MB/s                | 262                 | 270                             | 16.375              | 16.875                          | 16            | 2     | 15        | 3               | 27              
Read      | /tmp                                            | MB/s                | 260                 | 269                             | 16.25               | 16.8125                         | 16            | 2     | 15        | 4               | 26              
Read      | /tmp                                            | MB/s                | 259                 | 270                             | 16.1875             | 16.875                          | 16            | 2     | 16        | 5               | 25              
Read      | /tmp                                            | MB/s                | 256                 | 269                             | 16                  | 16.8125                         | 16            | 2     | 22        | 6               | 24              
Read      | /tmp                                            | MB/s                | 257                 | 271                             | 16.0625             | 16.9375                         | 16            | 2     | 22        | 7               | 23              
Read      | /tmp                                            | MB/s                | 256                 | 269                             | 16                  | 16.8125                         | 16            | 2     | 22        | 8               | 22              
Read      | /tmp                                            | MB/s                | 256                 | 271                             | 16                  | 16.9375                         | 16            | 2     | 22        | 9               | 21              
Read      | /tmp                                            | MB/s                | 257                 | 273                             | 16.0625             | 17.0625                         | 16            | 2     | 22        | 10              | 20              
Read      | /tmp                                            | MB/s                | 256                 | 271                             | 16                  | 16.9375                         | 16            | 2     | 22        | 11              | 19              
Read      | /tmp                                            | MB/s                | 256                 | 272                             | 16                  | 17                              | 16            | 2     | 19        | 12              | 18              
Read      | /tmp                                            | MB/s                | 257                 | 272                             | 16.0625             | 17                              | 16            | 2     | 19        | 13              | 17              
Read      | /tmp                                            | MB/s                | 257                 | 273                             | 16.0625             | 17.0625                         | 16            | 2     | 19        | 14              | 16              
Read      | /tmp                                            | MB/s                | 258                 | 272                             | 16.125              | 17                              | 16            | 2     | 19        | 15              | 15              
Read      | /tmp                                            | MB/s                | 258                 | 273                             | 16.125              | 17.0625                         | 16            | 2     | 19        | 16              | 14              
Read      | /tmp                                            | MB/s                | 258                 | 273                             | 16.125              | 17.0625                         | 16            | 2     | 19        | 17              | 13              
Read      | /tmp                                            | MB/s                | 258                 | 272                             | 16.125              | 17                              | 16            | 2     | 16        | 18              | 12              
Read      | /tmp                                            | MB/s                | 259                 | 273                             | 16.1875             | 17.0625                         | 16            | 2     | 16        | 19              | 11              
Read      | /tmp                                            | MB/s                | 259                 | 273                             | 16.1875             | 17.0625                         | 16            | 2     | 16        | 20              | 10              
Read      | /tmp                                            | MB/s                | 259                 | 272                             | 16.1875             | 17                              | 16            | 2     | 15        | 21              | 9               
Read      | /tmp                                            | MB/s                | 259                 | 273                             | 16.1875             | 17.0625                         | 16            | 2     | 15        | 22              | 8               
Read      | /tmp                                            | MB/s                | 259                 | 272                             | 16.1875             | 17                              | 16            | 2     | 19        | 23              | 7               
Read      | /tmp                                            | MB/s                | 259                 | 273                             | 16.1875             | 17.0625                         | 16            | 2     | 17        | 24              | 6               
Read      | /tmp                                            | MB/s                | 260                 | 272                             | 16.25               | 17                              | 16            | 2     | 15        | 25              | 5               
Read      | /tmp                                            | MB/s                | 260                 | 273                             | 16.25               | 17.0625                         | 16            | 2     | 15        | 26              | 4               
Read      | /tmp                                            | MB/s                | 260                 | 272                             | 16.25               | 17                              | 16            | 2     | 18        | 27              | 3               
Read      | /tmp                                            | MB/s                | 260                 | 273                             | 16.25               | 17.0625                         | 16            | 2     | 19        | 28              | 2               
Read      | /tmp                                            | MB/s                | 260                 | 273                             | 16.25               | 17.0625                         | 16            | 2     | 19        | 29              | 1               
Read      | /tmp                                            | MB/s                | 271                 | 288                             | 16.9375             | 18                              | 16            | 2     | 18        | 30              | 0               
SkipRead  | /tmp                                            | seeks/s             | 48208               | 48208                           | 3013                | 3013                            | 16            | 1     | 23        | 1               | 29              
SkipRead  | /tmp                                            | seeks/s             | 48212               | 48216                           | 3013.25             | 3013.5                          | 16            | 1     | 28        | 2               | 28              
SkipRead  | /tmp                                            | seeks/s             | 48228               | 48280                           | 3014.25             | 3017.5                          | 16            | 1     | 31        | 3               | 27              
SkipRead  | /tmp                                            | seeks/s             | 48240               | 48256                           | 3015                | 3016                            | 16            | 1     | 28        | 4               | 26              
SkipRead  | /tmp                                            | seeks/s             | 48211               | 48136                           | 3013.19             | 3008.5                          | 16            | 1     | 30        | 5               | 25              
SkipRead  | /tmp                                            | seeks/s             | 48173               | 47976                           | 3010.81             | 2998.5                          | 16            | 1     | 28        | 6               | 24              
SkipRead  | /tmp                                            | seeks/s             | 48112               | 47752                           | 3007                | 2984.5                          | 16            | 1     | 29        | 7               | 23              
SkipRead  | /tmp                                            | seeks/s             | 48035               | 47456                           | 3002.19             | 2966                            | 16            | 1     | 27        | 8               | 22              
SkipRead  | /tmp                                            | seeks/s             | 47930               | 47152                           | 2995.62             | 2947                            | 16            | 1     | 27        | 9               | 21              
SkipRead  | /tmp                                            | seeks/s             | 47804               | 46664                           | 2987.75             | 2916.5                          | 16            | 1     | 28        | 10              | 20              
SkipRead  | /tmp                                            | seeks/s             | 47694               | 46632                           | 2980.88             | 2914.5                          | 16            | 1     | 26        | 11              | 19              
SkipRead  | /tmp                                            | seeks/s             | 47649               | 47096                           | 2978.06             | 2943.5                          | 16            | 1     | 26        | 12              | 18              
SkipRead  | /tmp                                            | seeks/s             | 47681               | 48128                           | 2980.06             | 3008                            | 16            | 1     | 26        | 13              | 17              
SkipRead  | /tmp                                            | seeks/s             | 47719               | 48176                           | 2982.44             | 3011                            | 16            | 1     | 26        | 14              | 16              
SkipRead  | /tmp                                            | seeks/s             | 47747               | 48192                           | 2984.19             | 3012                            | 16            | 1     | 25        | 15              | 15              
SkipRead  | /tmp                                            | seeks/s             | 47780               | 48224                           | 2986.25             | 3014                            | 16            | 1     | 27        | 16              | 14              
SkipRead  | /tmp                                            | seeks/s             | 47802               | 48216                           | 2987.62             | 3013.5                          | 16            | 1     | 25        | 17              | 13              
SkipRead  | /tmp                                            | seeks/s             | 47820               | 48160                           | 2988.75             | 3010                            | 16            | 1     | 25        | 18              | 12              
SkipRead  | /tmp                                            | seeks/s             | 47820               | 47816                           | 2988.75             | 2988.5                          | 16            | 1     | 26        | 19              | 11              
SkipRead  | /tmp                                            | seeks/s             | 47750               | 46400                           | 2984.38             | 2900                            | 16            | 1     | 28        | 20              | 10              
SkipRead  | /tmp                                            | seeks/s             | 47614               | 44896                           | 2975.88             | 2806                            | 16            | 1     | 28        | 21              | 9               
SkipRead  | /tmp                                            | seeks/s             | 47483               | 44720                           | 2967.69             | 2795                            | 16            | 1     | 26        | 22              | 8               
SkipRead  | /tmp                                            | seeks/s             | 47437               | 46480                           | 2964.81             | 2905                            | 16            | 1     | 28        | 23              | 7               
SkipRead  | /tmp                                            | seeks/s             | 47468               | 48112                           | 2966.75             | 3007                            | 16            | 1     | 27        | 24              | 6               
SkipRead  | /tmp                                            | seeks/s             | 47494               | 48160                           | 2968.38             | 3010                            | 16            | 1     | 27        | 25              | 5               
SkipRead  | /tmp                                            | seeks/s             | 47519               | 48168                           | 2969.94             | 3010.5                          | 16            | 1     | 27        | 26              | 4               
SkipRead  | /tmp                                            | seeks/s             | 47542               | 48152                           | 2971.38             | 3009.5                          | 16            | 1     | 28        | 27              | 3               
SkipRead  | /tmp                                            | seeks/s             | 47562               | 48152                           | 2972.62             | 3009.5                          | 16            | 1     | 26        | 28              | 2               
SkipRead  | /tmp                                            | seeks/s             | 47575               | 47896                           | 2973.44             | 2993.5                          | 16            | 1     | 26        | 29              | 1               
SkipRead  | /tmp                                            | seeks/s             | 47523               | 46056                           | 2970.19             | 2878.5                          | 16            | 1     | 27        | 30              | 0               
